Date,Year,Session,Site,Trt,FlwSwtAlysm,BeeAbun,BeeSpDensity,BeeAbun.F,BeeAbun.M,BeeAbun.ephialtum.F,BeeAbun.ephialtum.M,BeeAbun.ephialtum,FlwAbun.TotArea,FlwAbun.TotArea.SMALL,FlwRich.Avg,FlwRich.SD,StartTime,StopTime,Nest.BareSoil,Nest.DeadWood,Nest.Aspect,Nest.MulchRock,Nest.Herbacious,Nest.BeeTotal
8/4/15,2015,S5,EBC,3,5928,12,2,3,9,2,9,11,314.15,251.32,1.71,1.8,16:32,16:48,108,0.85,36,63,84,291.85
8/4/15,2015,S5,EF,3,2719.5,6,1,0,6,0,6,6,691.13,376.98,3.71,2.81,13:14,13:27,42,2,2,14,3,63
8/4/15,2015,S5,EH,6,4943.61,5,1,2,3,2,3,5,188.49,62.83,0.57,0.79,14:01,14:14,32,0,0,8,3,43
8/4/15,2015,S5,FH,10,1158.67,12,2,8,4,7,4,11,565.47,502.64,3.14,2.73,15:20,15:33,59,2.55,5,8,63,137.55
8/4/15,2015,S5,KEC,6,14591.67,4,1,0,4,0,4,4,439.81,376.98,3.43,3.69,12:12,12:25,82,3.35,24,22,7,138.35
8/4/15,2015,S5,NC53,0,0,0,0,0,0,0,0,0,565.47,125.66,2,2.38,10:56,11:09,91,21.65,18,14,73,217.65
8/4/15,2015,S5,NCRC-E,3,1712,13,3,3,10,2,9,11,628.3,314.15,3,3,10:50,10:52,56,0,10,32,19,117
8/4/15,2015,S5,NCRC-W,6,8208.75,3,3,2,1,0,1,1,816.79,439.81,4,2.16,10:01,10:14,26,0,5,16,267,314
8/4/15,2015,S5,OSEH,0,0,0,0,0,0,0,0,0,376.98,251.32,2.14,2.67,14:23,14:36,24,0,6,43,10,83
8/4/15,2015,S5,RH,10,7106,10,2,7,3,7,2,9,565.47,251.32,2.14,1.07,13:38,13:51,13,0,19,83,38,153
8/4/15,2015,S5,SS,3,7370,14,1,3,11,3,11,14,502.64,314.15,3.14,1.57,14:51,15:04,81,5,8,0,63,157
8/4/15,2015,S5,WT,0,0,0,0,0,0,0,0,0,251.32,188.49,0.86,1.07,16:05,16:18,140,6,40,1,33,220
8/5/15,2015,S5,VD,6,22364.44,9,6,4,5,0,1,1,439.81,376.98,2.57,1.9,10:49,11:02,62,2.25,2,0,14,80.25
6/13/16,2016,S1,AA,10,5400,3,2,3,0,2,0,2,942.45,942.45,3.86,4.41,11:19,11:34,31,4.2,0,12,245,292.2
6/13/16,2016,S1,BB,10,5405,1,1,1,0,1,0,1,565.47,565.47,3.57,2.51,13:47,14:02,102,5.4,60,44,43,254.4
6/13/16,2016,S1,EBC,3,2065,3,1,1,2,1,2,3,628.3,628.3,4.14,3.18,15:19,15:34,108,0.85,36,63,84,291.85
6/13/16,2016,S1,EF,3,1080,1,1,1,0,0,0,0,753.96,628.3,3,1.63,16:53,17:08,42,2,2,14,3,63
6/13/16,2016,S1,EH,6,3825,4,1,3,1,3,1,4,251.32,251.32,5.14,8.25,15:59,16:14,32,0,0,8,3,43
6/13/16,2016,S1,FH,10,9100,1,1,1,0,1,0,1,816.79,816.79,5.43,2.7,13:27,13:42,59,2.55,5,8,63,137.55
6/13/16,2016,S1,KEC,6,5859,5,1,5,0,5,0,5,376.98,376.98,3.43,1.72,11:58,12:13,82,3.35,24,22,7,138.35
6/13/16,2016,S1,OSEH,1,570,0,0,0,0,0,0,0,376.98,314.15,1.57,1.72,15:38,15:53,24,0,6,43,10,83
6/13/16,2016,S1,RH,10,5388.33,10,1,1,9,1,9,10,439.81,376.98,2.43,1.51,16:27,16:42,13,0,19,83,38,153
6/13/16,2016,S1,SS,3,2040,2,1,1,1,1,1,2,1382.26,1382.26,4,2.16,13:02,13:17,81,5,8,0,63,157
6/13/16,2016,S1,VD,6,7455,0,0,0,0,0,0,0,2261.88,2261.88,3.86,2.27,14:25,14:40,62,2.25,2,0,14,80.25
6/13/16,2016,S1,WT,1,1289.17,0,0,0,0,0,0,0,502.64,502.64,2.86,2.34,14:52,15:07,140,6,40,1,33,220
6/14/16,2016,S1,ARB,1,851,0,0,0,0,0,0,0,1319.43,1256.6,4.29,2.43,12:26,12:42,141.1,0,156.8,16,12,325.9
6/14/16,2016,S1,NC53,1,1079.67,0,0,0,0,0,0,0,1822.07,879.62,3.29,2.06,10:54,11:09,91,21.65,18,14,73,217.65
6/14/16,2016,S1,NCRC-E,3,2210,3,1,0,3,0,3,3,1570.75,1507.92,2.14,1.46,10:28,10:43,56,0,10,32,19,117
6/14/16,2016,S1,NCRC-W,6,1612,0,0,0,0,0,0,0,1445.09,1256.6,3,2,10:04,10:19,26,0,5,16,267,314
7/12/16,2016,S3,AA,10,11293.33,8,4,7,1,2,0,2,1884.9,1884.9,2.86,3.18,11:13,11:30,31,4.2,0,12,245,292.2
7/12/16,2016,S3,ARB,1,78,0,0,0,0,0,0,0,1193.77,1068.11,4,3.11,11:40,11:55,141.1,0,156.8,16,12,325.9
7/12/16,2016,S3,BB,10,9408,2,1,1,1,1,1,2,439.81,251.32,1.71,0.95,13:07,13:23,102,5.4,60,44,43,254.4
7/12/16,2016,S3,EBC,3,161,0,0,0,0,0,0,0,188.49,125.66,0.86,1.86,14:52,15:07,108,0.85,36,63,84,291.85
7/12/16,2016,S3,EF,3,1344,0,0,0,0,0,0,0,565.47,376.98,3.43,3.87,16:19,16:34,42,2,2,14,3,63
7/12/16,2016,S3,EH,6,10703.33,4,2,1,3,1,2,3,125.66,62.83,1,1.53,14:41,15:56,32,0,0,8,3,43
7/12/16,2016,S3,FH,10,23006.67,5,3,1,4,1,0,1,565.47,314.15,2.71,2.29,13:31,13:46,59,2.55,5,8,63,137.55
7/12/16,2016,S3,KEC,6,17420,8,3,3,5,0,4,4,314.15,314.15,4,4.16,12:03,12:18,82,3.35,24,22,7,138.35
7/12/16,2016,S3,NC53,1,24.5,0,0,0,0,0,0,0,1822.07,1822.07,3.14,3.02,10:48,11:03,91,21.65,18,14,73,217.65
7/12/16,2016,S3,NCRC-E,3,4129.78,9,5,4,5,1,4,5,502.64,439.81,3.57,2.37,10:28,10:43,56,0,10,32,19,117
7/12/16,2016,S3,NCRC-W,6,10614,8,2,7,1,2,0,2,1193.77,1130.94,4.83,3.31,10:00,10:15,26,0,5,16,267,314
7/12/16,2016,S3,OSEH,1,1004.5,1,1,0,1,0,1,1,314.15,314.15,1,1.83,15:19,15:34,24,0,6,43,10,83
7/12/16,2016,S3,RH,10,15941.33,12,4,4,8,2,6,8,314.15,125.66,2.14,0.69,16:40,16:57,13,0,19,83,38,153
7/12/16,2016,S3,SS,3,2727,8,3,4,4,2,3,5,565.47,188.49,1.5,1.05,12:45,13:00,81,5,8,0,63,157
7/12/16,2016,S3,VD,6,4064,5,4,0,5,0,1,1,439.81,251.32,1.71,1.25,14:04,14:19,62,2.25,2,0,14,80.25
7/12/16,2016,S3,WT,1,247.5,0,0,0,0,0,0,0,251.32,188.49,1.43,1.62,14:29,14:44,140,6,40,1,33,220
8/8/16,2016,S5,AA,10,10191.5,9,5,8,1,2,0,2,62.83,62.83,0.33,0.82,10:03,10:19,31,4.2,0,12,245,292.2
8/8/16,2016,S5,ARB,1,138,1,1,0,0,0,0,0,314.15,62.83,0.33,0.58,11:09,11:24,141.1,0,156.8,16,12,325.9
8/8/16,2016,S5,BB,10,6792,2,1,1,1,1,1,2,439.81,62.83,1.86,1.86,13:53,14:08,102,5.4,60,44,43,254.4
8/8/16,2016,S5,EBC,3,3453.33,7,4,4,3,0,1,1,251.32,188.49,1.71,1.89,15:25,15:42,108,0.85,36,63,84,291.85
8/8/16,2016,S5,EF,3,2520,7,5,2,5,1,2,3,314.15,251.32,2.71,2.14,12:01,12:16,42,2,2,14,3,63
8/8/16,2016,S5,FH,10,2612.5,4,4,3,1,1,0,1,376.98,62.83,2.43,1.9,14:30,14:45,59,2.55,5,8,63,137.55
8/8/16,2016,S5,KEC,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,82,3.35,24,22,7,138.35
8/8/16,2016,S5,NC53,1,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,91,21.65,18,14,73,217.65
8/8/16,2016,S5,NCRC-E,3,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,56,0,10,32,19,117
8/8/16,2016,S5,NCRC-W,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,26,0,5,16,267,314
8/8/16,2016,S5,OSEH,1,3431,0,0,0,0,0,0,0,251.32,188.49,2.71,3.15,15:58,16:13,24,0,6,43,10,83
8/8/16,2016,S5,RH,10,1632,12,3,0,12,0,10,10,314.15,62.83,1.29,1.11,12:34,12:49,13,0,19,83,38,153
8/8/16,2016,S5,SS,3,1449,0,0,0,0,0,0,0,502.64,188.49,1.71,1.38,13:16,13:31,81,5,8,0,63,157
8/8/16,2016,S5,VD,6,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,62,2.25,2,0,14,80.25
8/8/16,2016,S5,WT,1,1032,1,1,0,1,0,1,1,188.49,125.66,1.57,2.3,14:58,15:13,140,6,40,1,33,220
8/9/16,2016,S5,EH,6,0,1,1,1,0,0,0,0,125.66,125.66,0.86,1.46,10:15,10:31,32,0,0,8,3,43
