Site,SiteTown,Date,Time,Recorders,Temperature_°C,Humidity_%,Rain,Cloud_cover_%,Wind,Transect_ID,Latitude,Longitude,Site_type,Section,WFMeadow%,Amenity_grass%,Woodland%,Scrub%,Ornamental%,Herbal%,Semi-improved_grassland,Rough_grassland%,Concrete%,Plant_species,Pollinator_species_sample_code,Notes,Species_Order,Species_Family,Habitat_type,Functional_morphotypes,Broad_group
UR4,Penryn,07/06/2022,15:08,"Olly, Rakshi, Lucy, Alba",22,55,0,76-108,Light_breeze,1,,,Unrestored,5,0,100,0,0,0,0,0,0,0,Trifolium_repens,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR4,Penryn,07/06/2022,15:19,"Olly, Rakshi, Lucy, Alba",22,55,0,76-119,Light_breeze,1,,,Unrestored,8,0,50,0,0,0,0,0,50,0,Ranunculus_repens,Brassicogethes_aeneus,,Coleoptera,Nitidulidae,Amenity,Coleoptera,Beetles
UR4,Penryn,07/06/2022,15:11,"Olly, Rakshi, Lucy, Alba",22,55,0,76-111,Light_breeze,1,,,Unrestored,6,0,50,0,0,0,0,0,50,0,Bellis_perennis,Anthomyiidae_gen.,,Diptera,Anthomyiidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:04,"Olly, Rakshi, Lucy, Alba",22,55,0,76-104,Light_breeze,1,,,Unrestored,3,0,100,0,0,0,0,0,0,0,Bellis_perennis,Anthomyiidae_gen.,,Diptera,Anthomyiidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:00,"Olly, Rakshi, Lucy, Alba",22,55,0,76-100,Light_breeze,1,50.1667035,-5.1059188,Unrestored,1,0,100,0,0,0,0,0,0,0,Bellis_perennis,Diptera,,Diptera,NA,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:07,"Olly, Rakshi, Lucy, Alba",22,55,0,76-107,Light_breeze,1,,,Unrestored,4,0,100,0,0,0,0,0,0,0,Bellis_perennis,Diptera,,Diptera,NA,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:01,"Olly, Rakshi, Lucy, Alba",22,55,0,76-101,Light_breeze,1,,,Unrestored,1,0,100,0,0,0,0,0,0,0,Bellis_perennis,Empididae_gen.,,Diptera,Empididae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:14,"Olly, Rakshi, Lucy, Alba",22,55,0,76-114,Light_breeze,1,,,Unrestored,7,0,50,0,0,0,0,0,50,0,Bellis_perennis,Muscidae_gen.,,Diptera,Muscidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:09,"Olly, Rakshi, Lucy, Alba",22,55,0,76-109,Light_breeze,1,,,Unrestored,6,0,50,0,0,0,0,0,50,0,Bellis_perennis,Oscinella_frit,,Diptera,Chloropidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:12,"Olly, Rakshi, Lucy, Alba",22,55,0,76-112,Light_breeze,1,,,Unrestored,7,0,50,0,0,0,0,0,50,0,Bellis_perennis,Oscinella_frit,,Diptera,Chloropidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:03,"Olly, Rakshi, Lucy, Alba",22,55,0,76-103,Light_breeze,1,,,Unrestored,2,0,100,0,0,0,0,0,0,0,Bellis_perennis,Oscinella_frit,,Diptera,Chloropidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:02,"Olly, Rakshi, Lucy, Alba",22,55,0,76-102,Light_breeze,1,,,Unrestored,2,0,100,0,0,0,0,0,0,0,Bellis_perennis,Sciaridae_gen.,,Diptera,Sciaridae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:16,"Olly, Rakshi, Lucy, Alba",22,55,0,76-116,Light_breeze,1,,,Unrestored,8,0,50,0,0,0,0,0,50,0,Ranunculus_acris,Anthomyiidae_gen.,,Diptera,Anthomyiidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:17,"Olly, Rakshi, Lucy, Alba",22,55,0,76-117,Light_breeze,1,,,Unrestored,8,0,50,0,0,0,0,0,50,0,Ranunculus_acris,Anthomyiidae_gen.,,Diptera,Anthomyiidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:21,"Olly, Rakshi, Lucy, Alba",22,55,0,76-121,Light_breeze,1,,,Unrestored,9,0,50,0,0,0,0,0,50,0,Ranunculus_acris,Diptera,,Diptera,NA,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:18,"Olly, Rakshi, Lucy, Alba",22,55,0,76-118,Light_breeze,1,,,Unrestored,8,0,50,0,0,0,0,0,50,0,Ranunculus_acris,Dolichopodidae_gen.,,Diptera,Dolichopodidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:25,"Olly, Rakshi, Lucy, Alba",22,55,0,76-125,Light_breeze,1,50.166888,-5.1072968,Unrestored,10,0,50,0,0,0,0,0,50,0,Ranunculus_acris,Rivellia_syngenesiae,,Diptera,Platystomatidae,Amenity,Other_flies,Flies
UR4,Penryn,07/06/2022,15:10,"Olly, Rakshi, Lucy, Alba",22,55,0,76-110,Light_breeze,1,,,Unrestored,6,0,50,0,0,0,0,0,50,0,Ranunculus_repens,Chalcidoidea_fam.,,Hymenoptera,NA,Amenity,Other_Hymenoptera,Wasps
UR4,Penryn,07/06/2022,15:15,"Olly, Rakshi, Lucy, Alba",22,55,0,76-115,Light_breeze,1,,,Unrestored,7,0,50,0,0,0,0,0,50,0,Ranunculus_repens,Chalcidoidea_fam.,,Hymenoptera,NA,Amenity,Other_Hymenoptera,Wasps
UR4,Penryn,07/06/2022,15:23,"Olly, Rakshi, Lucy, Alba",22,55,0,76-123,Light_breeze,1,,,Unrestored,10,0,50,0,0,0,0,0,50,0,Plantago_spp.,Polyommatus_icarus,,Lepidoptera,Lycaenidae,Wildflower,Lepidoptera,Lepidoptera
UR4,Penryn,07/06/2022,15:22,"Olly, Rakshi, Lucy, Alba",22,55,0,76-122,Light_breeze,1,,,Unrestored,10,0,50,0,0,0,0,0,50,0,Trifolium_medium,NA,MSPNG -017,NA,NA,Wildflower,NA,
UR4,Penryn,07/06/2022,15:20,"Olly, Rakshi, Lucy, Alba",22,55,0,76-120,Light_breeze,1,,,Unrestored,9,0,50,0,0,0,0,0,50,0,Trifolium_medium,Diptera,,Diptera,NA,Wildflower,Other_flies,Flies
UR4,Penryn,07/06/2022,15:24,"Olly, Rakshi, Lucy, Alba",22,55,0,76-124,Light_breeze,1,,,Unrestored,10,0,50,0,0,0,0,0,50,0,Ranunculus_lingua,Microgastrinae_gen.,,Hymenoptera,Braconidae,Wildflower,Other_Hymenoptera,Wasps
MS3,Penryn,10/06/2022,15:05,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,3,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS3,Penryn,10/06/2022,15:08,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,4,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS3,Penryn,10/06/2022,15:11,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,5,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS3,Penryn,10/06/2022,15:36,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,8,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS3,Penryn,10/06/2022,15:39,"Olly, Rakshi",18,50,0,26-50,0,1,50.1730316,-5.1096615,Restored,10,0,100,0,0,0,0,0,0,0,0,0,0,0,0,Amenity,,
MS3,Penryn,10/06/2022,15:23,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,6,0,100,0,0,0,0,0,0,0,Bellis_perennis,Chrysopilus_asiliformis,,Diptera,Rhagionidae,Amenity,Other_flies,Flies
MS3,Penryn,10/06/2022,15:32,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,7,0,70,0,0,0,30,0,0,0,Bellis_perennis,Empis_femorata,,Diptera,Empididae,Amenity,Other_flies,Flies
MS3,Penryn,10/06/2022,15:33,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,7,0,70,0,0,0,30,0,0,0,Bellis_perennis,Empis_femorata,,Diptera,Empididae,Amenity,Other_flies,Flies
MS3,Penryn,10/06/2022,15:35,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,7,0,70,0,0,0,30,0,0,0,Bellis_perennis,Empis_femorata,,Diptera,Empididae,Amenity,Other_flies,Flies
MS3,Penryn,10/06/2022,15:37,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,9,0,100,0,0,0,0,0,0,0,Bellis_perennis,Empis_femorata,,Diptera,Empididae,Amenity,Other_flies,Flies
MS3,Penryn,10/06/2022,15:38,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,9,0,100,0,0,0,0,0,0,0,Bellis_perennis,Empis_femorata,,Diptera,Empididae,Amenity,Other_flies,Flies
MS3,Penryn,10/06/2022,15:20,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,6,0,100,0,0,0,0,0,0,0,Bellis_perennis,Hylemya_spp.,,Diptera,Anthomyiidae,Amenity,Other_flies,Flies
MS3,Penryn,10/06/2022,15:34,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,7,0,70,0,0,0,30,0,0,0,Bellis_perennis,Musca_osiris,,Diptera,Muscidae,Amenity,Other_flies,Flies
MS3,Penryn,10/06/2022,15:02,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,2,0,25,0,0,0,60,0,0,15,Allium_schoenoprasum,Bombus_lapidarius,,Hymenoptera,Apidae,Ornamental_herb,Bumblebees,Bees
MS3,Penryn,10/06/2022,14:59,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,2,0,25,0,0,0,60,0,0,15,Allium_schoenoprasum,Bombus_terrestris,,Hymenoptera,Apidae,Ornamental_herb,Bumblebees,Bees
MS3,Penryn,10/06/2022,15:29,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,7,0,70,0,0,0,30,0,0,0,Lamium_album,Plutothrix_spp.,,Hymenoptera,Pteromalidae,Ornamental_herb,Other_Hymenoptera,Wasps
MS3,Penryn,10/06/2022,13:53,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Borago_officinalis,Apis_mellifera,,Hymenoptera,Apidae,Planted_Wildflower,Apis_mellifera,Bees
MS3,Penryn,10/06/2022,14:56,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Borago_officinalis,Apis_mellifera,,Hymenoptera,Apidae,Planted_Wildflower,Apis_mellifera,Bees
MS3,Penryn,10/06/2022,14:02,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Centaurea_cyanus,Apis_mellifera,,Hymenoptera,Apidae,Planted_Wildflower,Apis_mellifera,Bees
MS3,Penryn,10/06/2022,14:14,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Centaurea_cyanus,Apis_mellifera,,Hymenoptera,Apidae,Planted_Wildflower,Apis_mellifera,Bees
MS3,Penryn,10/06/2022,14:26,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Centaurea_cyanus,Apis_mellifera,,Hymenoptera,Apidae,Planted_Wildflower,Apis_mellifera,Bees
MS3,Penryn,10/06/2022,13:50,"Olly, Rakshi",18,50,0,26-50,0,1,50.1722594,-5.1094409,Restored,1,100,0,0,0,0,0,0,0,0,Borago_officinalis,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Planted_Wildflower,Bumblebees,Bees
MS3,Penryn,10/06/2022,14:53,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Borago_officinalis,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Planted_Wildflower,Bumblebees,Bees
MS3,Penryn,10/06/2022,14:17,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Centaurea_cyanus,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Planted_Wildflower,Bumblebees,Bees
MS3,Penryn,10/06/2022,14:35,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Centaurea_cyanus,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Planted_Wildflower,Bumblebees,Bees
MS3,Penryn,10/06/2022,14:05,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Limnanthes_alba,Anthophila_fabriciana,,Lepidoptera,Choreutidae,Planted_Wildflower,Lepidoptera,Lepidoptera
MS3,Penryn,10/06/2022,13:59,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Centaurea_cyanus,Sicus_ferrugineus,,Diptera,Conopidae,Planted_Wildflower,Other_flies,Flies
MS3,Penryn,10/06/2022,14:08,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Limnanthes_alba,Empis_femorata,,Diptera,Empididae,Planted_Wildflower,Other_flies,Flies
MS3,Penryn,10/06/2022,14:11,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Limnanthes_alba,Empis_femorata,,Diptera,Empididae,Planted_Wildflower,Other_flies,Flies
MS3,Penryn,10/06/2022,14:44,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Limnanthes_alba,Empis_femorata,,Diptera,Empididae,Planted_Wildflower,Other_flies,Flies
MS3,Penryn,10/06/2022,15:26,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,6,0,100,0,0,0,0,0,0,0,Limnanthes_alba,Empis_femorata,,Diptera,Empididae,Planted_Wildflower,Other_flies,Flies
MS3,Penryn,10/06/2022,15:14,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,6,0,100,0,0,0,0,0,0,0,Limnanthes_alba,Pyrellia_spp.,,Diptera,Muscidae,Planted_Wildflower,Other_flies,Flies
MS3,Penryn,10/06/2022,14:41,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Limnanthes_alba,Eurytoma_spp.,,Hymenoptera,Eurytomidae,Planted_Wildflower,Other_Hymenoptera,Wasps
MS3,Penryn,10/06/2022,14:20,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Centaurea_cyanus,Merodon_equestris,,Diptera,Syrphidae,Planted_Wildflower,Syrphidae,Flies
MS3,Penryn,10/06/2022,13:56,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Centaurea_cyanus,Sphaerophoria_scripta,,Diptera,Syrphidae,Planted_Wildflower,Syrphidae,Flies
MS3,Penryn,10/06/2022,14:50,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Centaurea_cyanus,Sphaerophoria_spp.,,Diptera,Syrphidae,Planted_Wildflower,Syrphidae,Flies
MS3,Penryn,10/06/2022,14:47,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Limnanthes_alba,Sphaerophoria_spp.,,Diptera,Syrphidae,Planted_Wildflower,Syrphidae,Flies
MS3,Penryn,10/06/2022,14:29,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Limnanthes_alba,Syritta_pipiens,,Diptera,Syrphidae,Planted_Wildflower,Syrphidae,Flies
MS3,Penryn,10/06/2022,14:38,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Echium_vulgare,Hylemya_spp.,,Diptera,Anthomyiidae,Wildflower,Other_flies,Flies
MS3,Penryn,10/06/2022,15:17,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,6,0,100,0,0,0,0,0,0,0,Silene_dioica,Hydrotaea_spp.,,Diptera,Muscidae,Wildflower,Other_flies,Flies
MS3,Penryn,10/06/2022,14:32,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Echium_vulgare,Sphaerophoria_scripta,,Diptera,Syrphidae,Wildflower,Syrphidae,Flies
MS3,Penryn,10/06/2022,14:23,"Olly, Rakshi",18,50,0,26-50,0,1,,,Restored,1,100,0,0,0,0,0,0,0,0,Silene_dioica,Merodon_equestris,,Diptera,Syrphidae,Wildflower,Syrphidae,Flies
UR3,Penryn,10/06/2022,16:42,"Olly, Rakshi",17,50,0,76-100,Moderate_wind,1,,,Unrestored,7,0,80,0,0,0,0,0,0,20,Trifolium_repens,Bombus_lapidarius,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR3,Penryn,10/06/2022,16:32,"Olly, Rakshi",17,50,0,76-100,Moderate_wind,1,,,Unrestored,4,0,100,0,0,0,0,0,0,0,Trifolium_repens,Bombus_lapidarius,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR3,Penryn,10/06/2022,16:30,"Olly, Rakshi",17,50,0,76-100,Moderate_wind,1,,,Unrestored,3,0,100,0,0,0,0,0,0,0,Trifolium_repens,White/Buff_Tailed_Bumblebee,IMG_4843,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR3,Penryn,10/06/2022,16:37,"Olly, Rakshi",17,50,0,76-100,Moderate_wind,1,,,Unrestored,6,0,50,0,0,0,0,0,0,50,Trifolium_repens,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR3,Penryn,10/06/2022,16:38,"Olly, Rakshi",17,50,0,76-100,Moderate_wind,1,,,Unrestored,6,0,50,0,0,0,0,0,0,50,Trifolium_repens,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR3,Penryn,10/06/2022,16:39,"Olly, Rakshi",17,50,0,76-100,Moderate_wind,1,,,Unrestored,6,0,50,0,0,0,0,0,0,50,Trifolium_repens,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR3,Penryn,10/06/2022,16:40,"Olly, Rakshi",17,50,0,76-100,Moderate_wind,1,,,Unrestored,6,0,50,0,0,0,0,0,0,50,Trifolium_repens,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR3,Penryn,10/06/2022,16:41,"Olly, Rakshi",17,50,0,76-100,Moderate_wind,1,,,Unrestored,7,0,80,0,0,0,0,0,0,20,Trifolium_repens,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
UR3,Penryn,10/06/2022,16:27,"Olly, Rakshi",17,50,0,76-100,Moderate_wind,1,,,Unrestored,1,0,100,0,0,0,0,0,0,0,Trifolium_repens,White/Buff_Tailed_Bumblebee,,Hymenoptera,Apidae,Amenity,Bumblebees,Bees
