"study_ID","title","abstract","doi","author","year","journal","full_text","pollinator_match","flower_match","outcome_match"
3,"Butterflies and bumblebees in greenways and sown wildflower strips in southern sweden","Greenways have recently been established in some intensively farmed areas of South Sweden in order to enhance recreation opportunities and biodiversity, but the effects of these green structures on biodiversity have not yet been determined. In this study, greenways and experimental sown wildflower strips were investigated for butterfly and bumblebee diversity. In total, 1,769 butterflies of 18 species and 1,216 foraging bumblebees of eight species were recorded. Sown wildflower strips proved to support much higher abundances and species numbers of butterflies and bumblebees than greenways, with 86% of all butterflies and 83% of all bumblebees being observed in the sown flower strips. However, in both types of green structure mostly common species were found. Counts of flower visits showed that Knautia, Centaurea and Cirsium were the most commonly visited plant species. The greenways studied did not seem to fulfil their function of enhancing biodiversity[long dash]at least not for butterflies and bumblebees. However, these greenways could easily be improved for common bumblebee and butterfly species by sowing wildflower strips along their margins.","10.1007/s10841-009-9232-3","Haaland, Christine (christine.haaland@ltj.slu.se) and Gyllin, Mats",2010,"JOURNAL OF INSECT CONSERVATION","Butterflies and bumblebees in greenways and sown wildflower strips in southern sweden Greenways have recently been established in some intensively farmed areas of South Sweden in order to enhance recreation opportunities and biodiversity, but the effects of these green structures on biodiversity have not yet been determined. In this study, greenways and experimental sown wildflower strips were investigated for butterfly and bumblebee diversity. In total, 1,769 butterflies of 18 species and 1,216 foraging bumblebees of eight species were recorded. Sown wildflower strips proved to support much higher abundances and species numbers of butterflies and bumblebees than greenways, with 86% of all butterflies and 83% of all bumblebees being observed in the sown flower strips. However, in both types of green structure mostly common species were found. Counts of flower visits showed that Knautia, Centaurea and Cirsium were the most commonly visited plant species. The greenways studied did not seem to fulfil their function of enhancing biodiversity[long dash]at least not for butterflies and bumblebees. However, these greenways could easily be improved for common bumblebee and butterfly species by sowing wildflower strips along their margins.",TRUE,TRUE,TRUE
1473,"Habitat quality and surrounding landscape structures influence wild bee occurrence in perennial wildflower strips","Perennial wildflower strips (WFS) are known to have positive effects on wild bees in intensively used agricultural landscapes. Little knowledge exists, however, about the drivers of wild bee occurrence and if Red List species also profit from this agri-environmental scheme (AES). Therefore, we studied wild bees on transects along 20 four-to five-year-old WFS and in 10 cereal fields without AES (CONTROL sites) in differently structured landscapes across Saxony-Anhalt (Germany). In addition to local site parameters, we measured parameters of landscape structure in a 1 km radius of the WFS and CONTROL sites. The overall species richness of wild bees (125 species in total, 23 on average), including numerous specialist and Red List species, indicates a high attractiveness of perennial WFS sown with 30 native forbs. In CONTROL fields, 11 bee species (on average only one) were found. The species richness and abundance of wild bees were positively affected by local site conditions of the WFS and CONTROL sites, such as the overall number of sown and spontaneous forbs, the amount of flower rewards of sown forbs available to pollinators (Pollinator Feeding Index), and negatively by the cover of grasses. Therefore, seed mixtures of future AES should comprise a high diversity of wildflower species relevant as pollen sources for wild bees. The share of Red List wild bee species was strongly influenced by the landscape context and increased e.g. with Shannon landscape diversity and the availability of non-forest woody habitats and water bodies in the 1 km surroundings. These results suggest that besides the establishment of high-diversity WFS, semi-natural habitat structures have to be promoted to preserve rare wild bees especially in structurally simple agricultural landscapes. (c) 2021 The Author(s). Published by Elsevier GmbH on behalf of Gesellschaft fur Okologie.This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)","10.1016/j.baae.2021.12.007","Schubert, Lea F. (lea.schubert@hs-anhalt.de) and Hellwig, Niels and Kirmer, Anita and Schmid-Egger, Christian and Schmidt, Annika and Dieker, Petra and Tischew, Sabine",2022,"BASIC AND APPLIED ECOLOGY","Habitat quality and surrounding landscape structures influence wild bee occurrence in perennial wildflower strips Perennial wildflower strips (WFS) are known to have positive effects on wild bees in intensively used agricultural landscapes. Little knowledge exists, however, about the drivers of wild bee occurrence and if Red List species also profit from this agri-environmental scheme (AES). Therefore, we studied wild bees on transects along 20 four-to five-year-old WFS and in 10 cereal fields without AES (CONTROL sites) in differently structured landscapes across Saxony-Anhalt (Germany). In addition to local site parameters, we measured parameters of landscape structure in a 1 km radius of the WFS and CONTROL sites. The overall species richness of wild bees (125 species in total, 23 on average), including numerous specialist and Red List species, indicates a high attractiveness of perennial WFS sown with 30 native forbs. In CONTROL fields, 11 bee species (on average only one) were found. The species richness and abundance of wild bees were positively affected by local site conditions of the WFS and CONTROL sites, such as the overall number of sown and spontaneous forbs, the amount of flower rewards of sown forbs available to pollinators (Pollinator Feeding Index), and negatively by the cover of grasses. Therefore, seed mixtures of future AES should comprise a high diversity of wildflower species relevant as pollen sources for wild bees. The share of Red List wild bee species was strongly influenced by the landscape context and increased e.g. with Shannon landscape diversity and the availability of non-forest woody habitats and water bodies in the 1 km surroundings. These results suggest that besides the establishment of high-diversity WFS, semi-natural habitat structures have to be promoted to preserve rare wild bees especially in structurally simple agricultural landscapes. (c) 2021 The Author(s). Published by Elsevier GmbH on behalf of Gesellschaft fur Okologie.This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/)",TRUE,TRUE,TRUE
46,"Establishment and management of wildflower areas for insect pollinators in commercial orchards","Sown wildflower areas are increasingly recommended as an agri-environmental intervention measure, but evidence for their success is limited to particular insect groups or hampered by the challenges of establishing seed mixes and maintaining flower abundance over time. We conducted a replicated experiment to establish wildflower areas to support insect pollinators in apple orchards. Over three years, and across 23 commercial UK orchards with and without sown wildflowers, we conducted 828 transect surveys across various non-crop habitats. We found that the abundance of flower-visiting solitary bees, bumblebees, honeybees, and beetles was increased in sown wildflower areas, compared with existing non-crop habitats in control orchards, from the second year following floral establishment. Abundance of hoverflies and other non-syrphid flies was increased in wildflower areas from the first year. Beyond the effect of wildflower areas, solitary bee abundance was also positively related to levels of floral cover in other local habitats within orchards, but neither local nor wider landscape-scale context affected abundance of other studied insect taxa within study orchards. There was a change in plant community composition on the sown wildflower areas between years, and in patterns of flowering within and between years, showing a succession from unsown weedy species towards a dominance of sown species over time. We discuss how the successful establishment of sown wildflower areas and delivery of benefits for different insect taxa relies on appropriate and reactive management practices as a key component of any such agri-environment scheme. (C) 2021 The Authors. Published by Elsevier GmbH on behalf of Gesellschaft fur Okologie.","10.1016/j.baae.2021.11.001","Carvell, Claire (ccar@ceh.ac.uk) and Mitschunas, Nadine and McDonald, Rachel and Hulmes, Sarah and Hulmes, Lucy and O'Connor, Rory S. and Garratt, Michael P.D. and Potts, Simon G. and Fountain, Michelle T. and Sadykova, Dinara and Edwards, Mike and Nowakowski, Marek and Pywell, Richard F. and Redhead, John W.",2022,"BASIC AND APPLIED ECOLOGY","Establishment and management of wildflower areas for insect pollinators in commercial orchards Sown wildflower areas are increasingly recommended as an agri-environmental intervention measure, but evidence for their success is limited to particular insect groups or hampered by the challenges of establishing seed mixes and maintaining flower abundance over time. We conducted a replicated experiment to establish wildflower areas to support insect pollinators in apple orchards. Over three years, and across 23 commercial UK orchards with and without sown wildflowers, we conducted 828 transect surveys across various non-crop habitats. We found that the abundance of flower-visiting solitary bees, bumblebees, honeybees, and beetles was increased in sown wildflower areas, compared with existing non-crop habitats in control orchards, from the second year following floral establishment. Abundance of hoverflies and other non-syrphid flies was increased in wildflower areas from the first year. Beyond the effect of wildflower areas, solitary bee abundance was also positively related to levels of floral cover in other local habitats within orchards, but neither local nor wider landscape-scale context affected abundance of other studied insect taxa within study orchards. There was a change in plant community composition on the sown wildflower areas between years, and in patterns of flowering within and between years, showing a succession from unsown weedy species towards a dominance of sown species over time. We discuss how the successful establishment of sown wildflower areas and delivery of benefits for different insect taxa relies on appropriate and reactive management practices as a key component of any such agri-environment scheme. (C) 2021 The Authors. Published by Elsevier GmbH on behalf of Gesellschaft fur Okologie.",TRUE,TRUE,TRUE
5,"Can pollination services, species diversity and conservation be <i>simultaneously</i> promoted by sown wildflower strips on farmland?","Sown wildflower strips have been used to mitigate against the loss of farmland biodiversity e.g. as a part of agri-environmental schemes. In this four-year field experiment, conducted on six field parcels, the ability of wildflower strips to simultaneously promote the availability of pollination services (using bumblebee abundance as a proxy), species diversity (total species richness of bumblebees, butterflies and diurnal moths) and conservation (abundance of habitat specialist butterflies) was evaluated. The results showed that the first two indicators increased strongly and rapidly in wildflower strips until the third year of the experiment. The conservation indicator increased more slowly and this response was related to the forest cover of the surrounding landscape. Furthermore, the benefits of wildflower strips were largely independent of experimentally varied strip properties. It is concluded that wildflower strips are a flexible mitigation tool to promote different biodiversity targets in agricultural systems. Pollination services and species diversity can be promoted in different kinds of landscapes by ensuring local habitat quality. In the promotion of habitat specialists, landscape matrix quality is more critical. (C) 2013 Elsevier B.V. All rights reserved.","10.1016/j.agee.2013.07.001","Korpela, EL and Hyvönen, T and Lindgren, S and Kuussaari, M",2013,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Can pollination services, species diversity and conservation be <i>simultaneously</i> promoted by sown wildflower strips on farmland? Sown wildflower strips have been used to mitigate against the loss of farmland biodiversity e.g. as a part of agri-environmental schemes. In this four-year field experiment, conducted on six field parcels, the ability of wildflower strips to simultaneously promote the availability of pollination services (using bumblebee abundance as a proxy), species diversity (total species richness of bumblebees, butterflies and diurnal moths) and conservation (abundance of habitat specialist butterflies) was evaluated. The results showed that the first two indicators increased strongly and rapidly in wildflower strips until the third year of the experiment. The conservation indicator increased more slowly and this response was related to the forest cover of the surrounding landscape. Furthermore, the benefits of wildflower strips were largely independent of experimentally varied strip properties. It is concluded that wildflower strips are a flexible mitigation tool to promote different biodiversity targets in agricultural systems. Pollination services and species diversity can be promoted in different kinds of landscapes by ensuring local habitat quality. In the promotion of habitat specialists, landscape matrix quality is more critical. (C) 2013 Elsevier B.V. All rights reserved.",TRUE,TRUE,TRUE
1028,"Effects of three flower field types on bumblebees and their pollen diets","Agri-environment schemes, like flower fields, have been implemented in the EU to counteract the dramatic decline of farmland biodiversity. Farmers in Lower Saxony, Germany, may receive payments for three flower field types: annual, perennial (five years old), and mixed flower fields composed of yearly alternating annual and biannual parts. We assessed the effectiveness of these flower field types in providing bumblebee foraging habitat compared to control cereal fields. We sampled bumblebees with transect walks and assessed the richness of exploited pollen plants using DNA meta-barcoding and direct observations. All flower field types enhanced bumblebee abundance and species richness compared to control fields but attracted mostly three generalist species. Although we expected highest benefits from the more heterogeneous mixed flower fields, abundance was highest in annual, only intermediate in mixed, and lowest in perennial flower fields. Bumblebee species richness did not differ between flower field types. Overall, the proportion of sown plants in pollen loads was surprisingly low (< 50%). Bombus pascuorum, but not B. terrestris agg., exploited 10% of the sown plant species in perennial, 36% in annual and 45% in mixed flower fields, respectively. Compared to direct observations, pollen samples revealed 4.5 times more visited plant species and thus assessed floral resource use more reliably. Plant species richness in pollen loads decreased with local flowering plant species richness and increased with proportion of annual crops in the landscape, potentially due to the exploitation of more diverse and scattered resources, including flowering crops, in homogenized landscapes to fulfil dietary requirements. Our results indicate that under the current management, both annual and mixed flower fields provide the most attractive food resources, while perennial flower fields offered the poorest foraging habitats. Conclusively, flower fields seem important but resources from the surrounding landscape are still needed to sustain bumblebees in agricultural landscapes. (c) 2021 Gesellschaft f & uuml;r & Ouml;kologie. Published by Elsevier GmbH. All rights reserved.","10.1016/j.baae.2021.02.005","Piko, Julia (juliaimola.piko@gmail.com) and Keller, Alexander and Geppert, Costanza and Batary, Peter and Tscharntke, Teja and Westphal, Catrin and Hass, Annika L.",2021,"BASIC AND APPLIED ECOLOGY","Effects of three flower field types on bumblebees and their pollen diets Agri-environment schemes, like flower fields, have been implemented in the EU to counteract the dramatic decline of farmland biodiversity. Farmers in Lower Saxony, Germany, may receive payments for three flower field types: annual, perennial (five years old), and mixed flower fields composed of yearly alternating annual and biannual parts. We assessed the effectiveness of these flower field types in providing bumblebee foraging habitat compared to control cereal fields. We sampled bumblebees with transect walks and assessed the richness of exploited pollen plants using DNA meta-barcoding and direct observations. All flower field types enhanced bumblebee abundance and species richness compared to control fields but attracted mostly three generalist species. Although we expected highest benefits from the more heterogeneous mixed flower fields, abundance was highest in annual, only intermediate in mixed, and lowest in perennial flower fields. Bumblebee species richness did not differ between flower field types. Overall, the proportion of sown plants in pollen loads was surprisingly low (< 50%). Bombus pascuorum, but not B. terrestris agg., exploited 10% of the sown plant species in perennial, 36% in annual and 45% in mixed flower fields, respectively. Compared to direct observations, pollen samples revealed 4.5 times more visited plant species and thus assessed floral resource use more reliably. Plant species richness in pollen loads decreased with local flowering plant species richness and increased with proportion of annual crops in the landscape, potentially due to the exploitation of more diverse and scattered resources, including flowering crops, in homogenized landscapes to fulfil dietary requirements. Our results indicate that under the current management, both annual and mixed flower fields provide the most attractive food resources, while perennial flower fields offered the poorest foraging habitats. Conclusively, flower fields seem important but resources from the surrounding landscape are still needed to sustain bumblebees in agricultural landscapes. (c) 2021 Gesellschaft f & uuml;r & Ouml;kologie. Published by Elsevier GmbH. All rights reserved.",TRUE,TRUE,TRUE
959,"Agri-environment schemes enhance pollinator richness and abundance but bumblebee reproduction depends on field size","Pollinators have experienced a dramatic decrease world-wide due to agricultural intensification. In many countries, agri-environment schemes (AES) have been introduced to counteract this current trend. However, until now, the relative importance of each AES for biodiversity and ecosystem services is still little understood and might change depending on landscape context. Complex landscape-experiments are required to fill this knowledge gap, enabling the implementation of sustainable intensification of food production. In our study, we compared the effectiveness of the two most popular AES in Germany, organic farming and flower strips, in supporting pollinators and flower resources. We selected nine landscapes along a gradient of increasing field size, (configurational heterogeneity), each with a triplet of winter wheat fields: one organic, one conventional with flower strip and one conventional without flower strip as a control. We surveyed insect-pollinated plants and pollinators (bumblebees, solitary bees and hoverflies). Additionally, we placed bumblebee colonies in the field edges to monitor their growth (colony weight gain) and reproduction (queen production). Flower strips stood out with the highest abundance and richness of pollinators. In contrast, bumblebee colony growth and plant richness benefited equally from organic and flower strip schemes. At the landscape scale, smaller fields had a positive effect on plant richness and bumblebee reproduction in flower strips. By contrast, bumblebee colonies in organic agriculture benefited most from large fields, as large organic fields provided much more flower resources than the narrow flower strips. Synthesis and applications. Our results showed that both local and landscape management shaped pollinator communities and their reproduction. Overall, organic farming and flower strips appeared to be effective tools to mitigate flower shortage in conventional cereal fields, with organic farming supporting the highest flowering plant cover per field. Flower strips enhanced local pollinator richness most, but increased bumblebee reproduction only when the surrounding landscapes had small fields with long field borders. Therefore, our results reveal that European Union policies need to take into account that the effectiveness of agri-environment schemes depends on the structure of the surrounding landscape.","10.1111/1365-2664.13682","Geppert, C and Hass, A and Földesi, R and Donkó, B and Akter, A and Tscharntke, T and Batary, P",2020,"JOURNAL OF APPLIED ECOLOGY","Agri-environment schemes enhance pollinator richness and abundance but bumblebee reproduction depends on field size Pollinators have experienced a dramatic decrease world-wide due to agricultural intensification. In many countries, agri-environment schemes (AES) have been introduced to counteract this current trend. However, until now, the relative importance of each AES for biodiversity and ecosystem services is still little understood and might change depending on landscape context. Complex landscape-experiments are required to fill this knowledge gap, enabling the implementation of sustainable intensification of food production. In our study, we compared the effectiveness of the two most popular AES in Germany, organic farming and flower strips, in supporting pollinators and flower resources. We selected nine landscapes along a gradient of increasing field size, (configurational heterogeneity), each with a triplet of winter wheat fields: one organic, one conventional with flower strip and one conventional without flower strip as a control. We surveyed insect-pollinated plants and pollinators (bumblebees, solitary bees and hoverflies). Additionally, we placed bumblebee colonies in the field edges to monitor their growth (colony weight gain) and reproduction (queen production). Flower strips stood out with the highest abundance and richness of pollinators. In contrast, bumblebee colony growth and plant richness benefited equally from organic and flower strip schemes. At the landscape scale, smaller fields had a positive effect on plant richness and bumblebee reproduction in flower strips. By contrast, bumblebee colonies in organic agriculture benefited most from large fields, as large organic fields provided much more flower resources than the narrow flower strips. Synthesis and applications. Our results showed that both local and landscape management shaped pollinator communities and their reproduction. Overall, organic farming and flower strips appeared to be effective tools to mitigate flower shortage in conventional cereal fields, with organic farming supporting the highest flowering plant cover per field. Flower strips enhanced local pollinator richness most, but increased bumblebee reproduction only when the surrounding landscapes had small fields with long field borders. Therefore, our results reveal that European Union policies need to take into account that the effectiveness of agri-environment schemes depends on the structure of the surrounding landscape.",TRUE,TRUE,TRUE
906,"Scale-dependent effectiveness of on-field vs. off-field agri-environmental measures for wild bees","The effectiveness of agri-environment schemes depends on scheme type, taxon and landscape. Here, we show how spatial scale, i.e. studied transect, field or farm level, and controlling for yield loss, can drastically change the evaluation of biodiversity benefits of on-field (organic farming) vs. off-field (flower strips) schemes. We selected ten agricultural landscapes in Central Germany, each with a triplet of winter wheat fields: one organic, one conventional with flower strip, and one conventional without flower strip as a control. We surveyed the abundance of wild bees at field edges for two years. We found that comparing data at the transect level may lead to misleading conclusions, because flower strips, covering only 5% of conventional fields, support fewer bees than large organic fields. However, a 50% cereal yield loss of organic farming can be considered as equivalent to yield levels of 50 ha conventional plus 50 ha flower strip. This would promote 3.5-times more bees than 100 ha organic farming. In conclusion, considering various scales in the evaluation of agri-environment scheme measures is necessary to reach a balanced understanding of their ecological and economic effects and their effectiveness. (C) 2022 The Author(s). Published by Elsevier GmbH on behalf of Gesellschaft fur Okologie.","10.1016/j.baae.2022.05.001","Batary, P and Tscharntke, T",2022,"BASIC AND APPLIED ECOLOGY","Scale-dependent effectiveness of on-field vs. off-field agri-environmental measures for wild bees The effectiveness of agri-environment schemes depends on scheme type, taxon and landscape. Here, we show how spatial scale, i.e. studied transect, field or farm level, and controlling for yield loss, can drastically change the evaluation of biodiversity benefits of on-field (organic farming) vs. off-field (flower strips) schemes. We selected ten agricultural landscapes in Central Germany, each with a triplet of winter wheat fields: one organic, one conventional with flower strip, and one conventional without flower strip as a control. We surveyed the abundance of wild bees at field edges for two years. We found that comparing data at the transect level may lead to misleading conclusions, because flower strips, covering only 5% of conventional fields, support fewer bees than large organic fields. However, a 50% cereal yield loss of organic farming can be considered as equivalent to yield levels of 50 ha conventional plus 50 ha flower strip. This would promote 3.5-times more bees than 100 ha organic farming. In conclusion, considering various scales in the evaluation of agri-environment scheme measures is necessary to reach a balanced understanding of their ecological and economic effects and their effectiveness. (C) 2022 The Author(s). Published by Elsevier GmbH on behalf of Gesellschaft fur Okologie.",TRUE,TRUE,TRUE
516,"Local and landscape-level floral resources explain effects of wildflower strips on wild bees across four european countries","Growing evidence for declines in wild bees calls for the development and implementation of effective mitigation measures. Enhancing floral resources is a widely accepted measure for promoting bees in agricultural landscapes, but effectiveness varies considerably between landscapes and regions. We hypothesize that this variation is mainly driven by a combination of the direct effects of measures on local floral resources and the availability of floral resources in the surrounding landscape. To test this, we established wildflower strips in four European countries, using the same seed mixture of forage plants specifically targeted at bees. We used a before-after control-impact approach to analyse the impacts of wildflower strips on bumblebees, solitary bees and Red List species and examined to what extent effects were affected by local and landscape-wide floral resource availability, land-use intensity and landscape complexity. Wildflower strips generally enhanced local bee abundance and richness, including Red-listed species. Effectiveness of the wildflower strips increased with the local contrast in flower richness created by the strips and furthermore depended on the availability of floral resources in the surrounding landscape, with different patterns for solitary bees and bumblebees. Effects on solitary bees appeared to decrease with increasing amount of late-season alternative floralresources in the landscape, whereas effects on bumblebees increased with increasing early-season landscape-wide floral resource availability.Synthesis and applications. Our study shows that the effects of wildflower strips on bees are largely driven by the extent to which local flower richness is increased. The effectiveness of this measure could therefore be enhanced by maximizing the number of bee forage species in seed mixtures, and by management regimes that effectively maintain flower richness in the strips through the years. In addition, for bumblebees specifically, our study highlights the importance of a continuous supply of food resources throughout the season. Measures that enhance early-season landscape-wide floral resource availability, such as the cultivation of oilseed rape, can benefit bumblebees by providing the essential resources for colony establishment and growth in spring. Further research is required to determine whether, and under what conditions, wildflower strips result in actual population-level effects. Our study shows that the effects of wildflower strips on bees are largely driven by the extent to which local flower richness is increased. The effectiveness of this measure could therefore be enhanced by maximizing the number of bee forage species in seed mixtures, and by management regimes that effectively maintain flower richness in the strips through the years. In addition, for bumblebees specifically, our study highlights the importance of a continuous supply of food resources throughout the season. Measures that enhance early-season landscape-wide floral resource availability, such as the cultivation of oilseed rape, can benefit bumblebees by providing the essential resources for colony establishment and growth in spring. Further research is required to determine whether, and under what conditions, wildflower strips result in actual population-level effects.","10.1111/1365-2664.12479","Scheper, Jeroen (jeroen.scheper@wur.nl) and Bommarco, Riccardo and Holzschuh, Andrea and Potts, Simon G. and Riedinger, Verena and Roberts, Stuart P.M. and Rundlof, Maj and Smith, Henrik G. and Steffan-Dewenter, Ingolf and Wickens, Jennifer B. and Wickens, Victoria J. and Kleijn, David",2015,"Journal of Applied Ecology","Local and landscape-level floral resources explain effects of wildflower strips on wild bees across four european countries Growing evidence for declines in wild bees calls for the development and implementation of effective mitigation measures. Enhancing floral resources is a widely accepted measure for promoting bees in agricultural landscapes, but effectiveness varies considerably between landscapes and regions. We hypothesize that this variation is mainly driven by a combination of the direct effects of measures on local floral resources and the availability of floral resources in the surrounding landscape. To test this, we established wildflower strips in four European countries, using the same seed mixture of forage plants specifically targeted at bees. We used a before-after control-impact approach to analyse the impacts of wildflower strips on bumblebees, solitary bees and Red List species and examined to what extent effects were affected by local and landscape-wide floral resource availability, land-use intensity and landscape complexity. Wildflower strips generally enhanced local bee abundance and richness, including Red-listed species. Effectiveness of the wildflower strips increased with the local contrast in flower richness created by the strips and furthermore depended on the availability of floral resources in the surrounding landscape, with different patterns for solitary bees and bumblebees. Effects on solitary bees appeared to decrease with increasing amount of late-season alternative floralresources in the landscape, whereas effects on bumblebees increased with increasing early-season landscape-wide floral resource availability.Synthesis and applications. Our study shows that the effects of wildflower strips on bees are largely driven by the extent to which local flower richness is increased. The effectiveness of this measure could therefore be enhanced by maximizing the number of bee forage species in seed mixtures, and by management regimes that effectively maintain flower richness in the strips through the years. In addition, for bumblebees specifically, our study highlights the importance of a continuous supply of food resources throughout the season. Measures that enhance early-season landscape-wide floral resource availability, such as the cultivation of oilseed rape, can benefit bumblebees by providing the essential resources for colony establishment and growth in spring. Further research is required to determine whether, and under what conditions, wildflower strips result in actual population-level effects. Our study shows that the effects of wildflower strips on bees are largely driven by the extent to which local flower richness is increased. The effectiveness of this measure could therefore be enhanced by maximizing the number of bee forage species in seed mixtures, and by management regimes that effectively maintain flower richness in the strips through the years. In addition, for bumblebees specifically, our study highlights the importance of a continuous supply of food resources throughout the season. Measures that enhance early-season landscape-wide floral resource availability, such as the cultivation of oilseed rape, can benefit bumblebees by providing the essential resources for colony establishment and growth in spring. Further research is required to determine whether, and under what conditions, wildflower strips result in actual population-level effects.",TRUE,TRUE,TRUE
88,"Tailored flower strips promote natural enemy biodiversity and pest control in potato crops","Sown flower strips are increasingly implemented within agri-environment schemes (AES) to increase functional biodiversity and ecosystem services such as pollination or natural pest control, but their effectiveness in achieving these goals remains poorly studied. We tested the performance of experimentally sown annual flower strips specifically designed to promote natural enemies of aphids and their pest control services (tailored flower strips) in adjacent potato crops (n=8) compared with control fields (n=10). Flower strips consisted of 11 plant species providing abundant floral and extra-floral resources. The abundance of key natural enemies of aphids (hoverflies, lacewings and ladybirds) and hoverfly species richness was greatly enhanced in tailored flower strips compared with potato control strips. This resulted in an average increase in the number of eggs deposited by hoverflies and lacewings by 127% and 48%, respectively, and a reduction in the number of aphids by 75% in adjacent potato crops.Synthesis and applications. We conclude that tailored flower strips can be an effective agri-environmental measure to enhance natural enemies and aphid control in nearby crops. Indeed, tailored flower strips may help to reduce insecticide input in potato production as they significantly decrease the probability that action thresholds are reached. Promoting natural enemy abundance and diversity, as observed for hoverflies, may increase the stability of pest control and provide additional benefits to agro-ecosystems in terms of natural enemy conservation. We thus recommend establishing tailored flower strips as a promising management option to reconcile the objectives of ecological intensification and biodiversity conservation.","10.1111/1365-2664.12653","Tschumi, Matthias (matthias.tschumi@biol.lu.se) and Albrecht, Matthias and Collatz, Jana and Dubsky, Viktor and Entling, Martin H. and Najar-Rodriguez, Adriana J. and Jacot, Katja",2016,"JOURNAL OF APPLIED ECOLOGY","Tailored flower strips promote natural enemy biodiversity and pest control in potato crops Sown flower strips are increasingly implemented within agri-environment schemes (AES) to increase functional biodiversity and ecosystem services such as pollination or natural pest control, but their effectiveness in achieving these goals remains poorly studied. We tested the performance of experimentally sown annual flower strips specifically designed to promote natural enemies of aphids and their pest control services (tailored flower strips) in adjacent potato crops (n=8) compared with control fields (n=10). Flower strips consisted of 11 plant species providing abundant floral and extra-floral resources. The abundance of key natural enemies of aphids (hoverflies, lacewings and ladybirds) and hoverfly species richness was greatly enhanced in tailored flower strips compared with potato control strips. This resulted in an average increase in the number of eggs deposited by hoverflies and lacewings by 127% and 48%, respectively, and a reduction in the number of aphids by 75% in adjacent potato crops.Synthesis and applications. We conclude that tailored flower strips can be an effective agri-environmental measure to enhance natural enemies and aphid control in nearby crops. Indeed, tailored flower strips may help to reduce insecticide input in potato production as they significantly decrease the probability that action thresholds are reached. Promoting natural enemy abundance and diversity, as observed for hoverflies, may increase the stability of pest control and provide additional benefits to agro-ecosystems in terms of natural enemy conservation. We thus recommend establishing tailored flower strips as a promising management option to reconcile the objectives of ecological intensification and biodiversity conservation.",TRUE,TRUE,TRUE
180,"Sown flower strips in southern sweden increase abundances of wild bees and hoverflies in the wider landscape","Pollinator populations have suffered severe declines in many industrialised countries due to reduced floral and nesting resources, brought on by agricultural intensification. One potential method of mitigating these effects is creating flower strips. Most previous studies have shown higher pollinator abundances in flower strips, but none have been able to demonstrate increased pollinator abundances at larger spatial scales, in the surrounding agricultural landscapes. We assessed local and landscape-wide effects of flower strips on pollinator abundances, using 18 carefully selected study landscapes in southern Sweden, distributed along independent gradients of landscape heterogeneity and farming intensity. We found that flower strips were more attractive than field borders in general to bumblebees, whereas hoverflies were only attracted to flower strips from nearby field borders. Solitary bees declined with increasing distance from flower strips, but only in complex landscapes. As one of the first studies investigating effects of flower strips on pollinators across the wider landscape, we found increased abundance of bumblebees, but not solitary bees, in field borders outside the flower strips in floristically enhanced landscapes as compared with control landscapes. However, we found that higher quality and/or larger total area of flower strips within a farm was important for both bumblebees and solitary bees. Hoverfly abundance was enhanced on farms with flower strips in simple landscapes. Our results demonstrate that flower strips with rewarding plants do not only attract pollinators locally, but in addition have the potential to increase pollinator abundances across entire landscapes, and particularly in landscapes dominated by farmland. (C) 2015 Elsevier Ltd. All rights reserved.","10.1016/j.biocon.2014.12.027","Jonsson, Annelie M. (annelie.jonsson@biol.lu.se) and Ekroos, Johan and Danhardt, Juliana and Andersson, Georg K.S. and Olsson, Ola and Smith, Henrik G.",2015,"BIOLOGICAL CONSERVATION","Sown flower strips in southern sweden increase abundances of wild bees and hoverflies in the wider landscape Pollinator populations have suffered severe declines in many industrialised countries due to reduced floral and nesting resources, brought on by agricultural intensification. One potential method of mitigating these effects is creating flower strips. Most previous studies have shown higher pollinator abundances in flower strips, but none have been able to demonstrate increased pollinator abundances at larger spatial scales, in the surrounding agricultural landscapes. We assessed local and landscape-wide effects of flower strips on pollinator abundances, using 18 carefully selected study landscapes in southern Sweden, distributed along independent gradients of landscape heterogeneity and farming intensity. We found that flower strips were more attractive than field borders in general to bumblebees, whereas hoverflies were only attracted to flower strips from nearby field borders. Solitary bees declined with increasing distance from flower strips, but only in complex landscapes. As one of the first studies investigating effects of flower strips on pollinators across the wider landscape, we found increased abundance of bumblebees, but not solitary bees, in field borders outside the flower strips in floristically enhanced landscapes as compared with control landscapes. However, we found that higher quality and/or larger total area of flower strips within a farm was important for both bumblebees and solitary bees. Hoverfly abundance was enhanced on farms with flower strips in simple landscapes. Our results demonstrate that flower strips with rewarding plants do not only attract pollinators locally, but in addition have the potential to increase pollinator abundances across entire landscapes, and particularly in landscapes dominated by farmland. (C) 2015 Elsevier Ltd. All rights reserved.",TRUE,TRUE,TRUE
